dog_ID,dog_name,sex,birthdate,test_date,age,breed,transparent_screen,tunnel_right_side,trial,looking_direction,start_experience_phase ,manipulation_check_times,Approach_transparent_screen_first,Help_introduction,notes
29,Flecki,F,19/11/2007,02/12/2021,168,"Mix (Staffordshire Bullterrier, American Pitbull Terrier)",blue,blue,4,L,R,1,1,help,
30,Jessy9,F,11/01/2009,02/12/2021,154,chihuahua,yellow,blue,1,L,L,1,0,help,special food. Too small to get the food out of the buckets standing upp. Had to lay them down. 
30,Jessy9,F,11/01/2009,02/12/2021,154,chihuahua,yellow,blue,2,R,L,1,0,help,
30,Jessy9,F,11/01/2009,02/12/2021,154,chihuahua,yellow,blue,3,R,L,1,0,help,
30,Jessy9,F,11/01/2009,02/12/2021,154,chihuahua,yellow,blue,4,L,L,1,0,help,
31,Queenofhearts(queeny),F,19/05/2019,17/12/2021,30,Airedale Terrier,blue,yellow,1,L,R,1,1,help,Chewing the buckets so stopped the trial faster to take the bucket away
31,Queenofhearts(queeny),F,19/05/2019,17/12/2021,30,Airedale Terrier,blue,yellow,2,R,R,1,1,help,
31,Queenofhearts(queeny),F,19/05/2019,17/12/2021,30,Airedale Terrier,blue,yellow,3,R,R,1,1,help,
31,Queenofhearts(queeny),F,19/05/2019,17/12/2021,30,Airedale Terrier,blue,yellow,4,L,R,1,1,help,
32,Joline,F,02/05/2017,01/12/2021,54,Whippet,yellow,yellow,1,L,L,1,1,no help,bag fell and made a sound during the manipulation check
32,Joline,F,02/05/2017,01/12/2021,54,Whippet,yellow,yellow,2,R,L,1,1,no help,
32,Joline,F,02/05/2017,01/12/2021,54,Whippet,yellow,yellow,3,R,L,1,1,no help,
32,Joline,F,02/05/2017,01/12/2021,54,Whippet,yellow,yellow,4,L,L,1,1,no help,
26/33,Daytona,F,08/05/2019,18/01/2022,32,Australian Shepherd,yellow,blue,1,R,L,1,1,help,owner pushes dog forward when released during 4th trial 
26/33,Daytona,F,08/05/2019,18/01/2022,32,Australian Shepherd,yellow,blue,2,L,L,1,1,help,
26/33,Daytona,F,08/05/2019,18/01/2022,32,Australian Shepherd,yellow,blue,3,L,L,1,1,help,
26/33,Daytona,F,08/05/2019,18/01/2022,32,Australian Shepherd,yellow,blue,4,R,L,1,1,help,
